Posted Date,Reference Number,Payee,Address,Amount
02/17/2025,24445005047600162498194,"UEP*OMMA TOFU HOUSE ARCADIA CA","ARCADIA       CA ",-60.60
02/17/2025,24692165046108321907033,"Amazon.com*302023213 Amzn.com/billWA","Amzn.com/bill WA ",-7.27
02/17/2025,24445005046100234629398,"AUNTIE ANNES CA128 ARCADIA CA","ARCADIA       CA ",-9.49
02/15/2025,24692165045107360284123,"Amazon.com*CF6VJ6943 Amzn.com/billWA","Amzn.com/bill WA ",-15.43
02/14/2025,24036295044714811801529,"DD *DOORDASH XISHANGRO 855-973-1040 CA","855-973-1040  CA ",-28.01
02/14/2025,24011345044500099471677,"LYFT *RIDE WED 2PM LYFT.COM CA","LYFT.COM      CA ",-7.99
02/14/2025,24000775044500020115089,"WWW.YAMIBUY.COM YAMIBUY.COM/ECA","YAMIBUY.COM/E CA ",-61.88
02/13/2025,04406005720004472850405,"Online payment from CHK 8540","",1501.76
02/13/2025,74036295044712750146331,"WEEE INC. 510-573-4967 CA","510-573-4967  CA ",6.99
02/13/2025,24011345043500091521470,"LYFT *RIDE WED 1PM LYFT.COM CA","LYFT.COM      CA ",-10.99
02/12/2025,24692165042105223801672,"AMAZON MKTPL*8V3L71IU3 Amzn.com/billWA","Amzn.com/bill WA ",-6.54
02/12/2025,24431065042602460753424,"AMC 9640 ONLINE 888-440-4262 KS","888-440-4262  KS ",-37.36
02/11/2025,24036295042742467874088,"WEEE INC. 5105734967 CA","5105734967    CA ",-132.82
02/11/2025,24692165041104413688990,"Amazon Tips*TN2C46ZH3 Amzn.com/billWA","Amzn.com/bill WA ",-2.00
02/10/2025,24431065040146856269969,"AMAZON GROCE*HX4086GQ3 SEATTLE WA","SEATTLE       WA ",-36.00
02/10/2025,24692165040103584495913,"AMAZON MKTPL*VZ8TP7MB3 Amzn.com/billWA","Amzn.com/bill WA ",-18.90
02/10/2025,24492165040500013149502,"ERWA COLD POT FISH 131-27305592 IL","131-27305592  IL ",-91.26
02/10/2025,24493985039074003002371,"SAN GABRIEL SPRSTR SAN GABRIEL CA","SAN GABRIEL   CA ",-94.87
02/10/2025,24692165039102792788179,"SQ *MELOMELO SAN GABRIEL San Gabriel CA","San Gabriel   CA ",-30.97
02/10/2025,24011345039500083229161,"DD *DOORDASHDASHPASS DOORDASH.COM CA","DOORDASH.COM  CA ",-9.99
02/10/2025,24692165039102552927280,"Amazon Tips*ZY8XZ1OD0 Amzn.com/billWA","Amzn.com/bill WA ",-2.00
02/08/2025,24692165039102127111188,"AMAZON MKTPL*Z76OT3611 Amzn.com/billWA","Amzn.com/bill WA ",-39.58
02/08/2025,24011345038500096286977,"SP SNUGGLE ME ORGANI WHITE BEAR LAMN","WHITE BEAR LA MN ",59.34
02/08/2025,24431065038145542705265,"AMAZON GROCE*Z73OZ9IP0 SEATTLE WA","SEATTLE       WA ",-28.86
02/07/2025,24036295037744726289642,"DD *DOORDASH MEIZHOUDO 855-973-1040 CA","855-973-1040  CA ",-61.82
02/06/2025,24755425036280368621043,"ROSE WOMENS HEALTH 626-4617071 CA","626-4617071   CA ",-126.00
02/05/2025,24036295035742479550683,"UBER *EATS HELP.UBER.COMCA","HELP.UBER.COM CA ",-36.74
02/05/2025,24692165035109203958659,"RAISING CANES 0685 MONROVIA CA","MONROVIA      CA ",-20.72
02/04/2025,24036295035714397400267,"WEEE INC. 5105734967 CA","5105734967    CA ",-51.35
02/04/2025,24164075034069222937723,"FEDEX OFFIC37000037044 MONROVIA CA","MONROVIA      CA ",-4.40
02/03/2025,24692165033107361782087,"Amazon.com*ZC9E516A1 Amzn.com/billWA","Amzn.com/bill WA ",-23.28
02/03/2025,24692165033107346669979,"Amazon.com*Z75Z19ZA0 Amzn.com/billWA","Amzn.com/bill WA ",-11.64
02/03/2025,24245505033900010344674,"METHODIST HOSPITAL SOCAL 626-5743403 CA","626-5743403   CA ",-530.08
02/03/2025,03306005710030522155995,"Online payment from CHK 8540","",906.73
02/03/2025,24692165033107059553964,"Amazon Tips*Z733774M0 Amzn.com/billWA","Amzn.com/bill WA ",-2.00
02/03/2025,24036295033718073740500,"UBER *EATS HELP.UBER.COMCA","HELP.UBER.COM CA ",-62.20
02/03/2025,24692165032106815055760,"Amazon Tips*W11738G63 Amzn.com/billWA","Amzn.com/bill WA ",-2.00
02/03/2025,24692165032106497806829,"GOOGLE *GSUITE_chenwei cc@google.comCA","cc@google.com CA ",-6.00
02/03/2025,24692165032106433458081,"Amazon.com*ZC8UM3501 Amzn.com/billWA","Amzn.com/bill WA ",-22.88
02/03/2025,24692165032106421602468,"AMAZON MKTPL*Z78B12IA2 Amzn.com/billWA","Amzn.com/bill WA ",-19.41
02/03/2025,24692165032106323440652,"Amazon.com*ZC02L3YO0 Amzn.com/billWA","Amzn.com/bill WA ",-49.43
02/01/2025,24431065031141451566316,"AMAZON GROCE*Z70DO09I2 SEATTLE WA","SEATTLE       WA ",-119.98
02/01/2025,24692165031105791086956,"Amazon.com*ZC6RR6GE1 Amzn.com/billWA","Amzn.com/bill WA ",-78.94
02/01/2025,24692165031105594332052,"Amazon Tips*ZC4768UZ0 Amzn.com/billWA","Amzn.com/bill WA ",-5.00
02/01/2025,24692165031105522706880,"AMAZON MKTPL*ZC8DQ51Y1 Amzn.com/billWA","Amzn.com/bill WA ",-17.30
01/31/2025,74036295031744714468787,"WEEE INC. 510-573-4967 CA","510-573-4967  CA ",3.88
01/31/2025,24431065030140655626323,"AMAZON GROCE*ZC3J903X1 SEATTLE WA","SEATTLE       WA ",-41.11
01/30/2025,24692165029103926854087,"Amazon Tips*ZC5HE1HI0 Amzn.com/billWA","Amzn.com/bill WA ",-7.00
01/29/2025,24692165028103107357794,"Amazon.com*ZG7F70UP1 Amzn.com/billWA","Amzn.com/bill WA ",-40.87
01/28/2025,24036295028744320353100,"WEEE INC. 5105734967 CA","5105734967    CA ",-91.89
01/28/2025,24692165027102494677054,"AMAZON MKTPL*ZC1HX3EL0 Amzn.com/billWA","Amzn.com/bill WA ",-58.21
01/27/2025,24011345027500005661248,"FC* FLATICON PREMIUM M WWW.FREEPIK.CDE","WWW.FREEPIK.C DE ",-12.99
01/27/2025,74692165025100867308577,"UNITED 0167202729324800-932-2732 TX","800-932-2732  TX ",651.50
01/27/2025,24692165025100604631138,"TST*SICHUAN IMPRESSION L Los Angeles CA","Los Angeles   CA ",-164.27
01/25/2025,02506005710040835127300,"Online payment from CHK 8540","",856.69
01/25/2025,24240985024200196039176,"LOS ANGELES PASSPORT LOS ANGELES CA","LOS ANGELES   CA ",-210.00
01/25/2025,24692165024102923355994,"UNITED 0167202729324800-932-2732 TX","800-932-2732  TX ",-651.50
01/25/2025,24036295024718767037800,"ADOBE *ADOBE 408-536-6000 CA","408-536-6000  CA ",-29.99
01/25/2025,24036295024712736732450,"DD *DOORDASH NOODOLOGY 855-973-1040 CA","855-973-1040  CA ",-33.06
01/24/2025,24011345023500068850328,"LYFT *RIDE WED 11AM LYFT.COM CA","LYFT.COM      CA ",-6.91
01/24/2025,24323005023096228190518,"RAMEN YUKINOYA ARCADIA CA","ARCADIA       CA ",-19.85
01/24/2025,24692165023101771287292,"DAISO - ARCADIA ARCADIA CA","ARCADIA       CA ",-6.00
01/23/2025,24011345023500034618916,"CLAUDE.AI SUBSCRIPTION ANTHROPIC.COMCA","ANTHROPIC.COM CA ",-20.00
01/23/2025,24137465023001285760635,"CVS/PHARMACY #09721 ARCADIA CA","ARCADIA       CA ",-18.73
01/22/2025,74036295022744439150927,"WEEE INC. 510-573-4967 CA","510-573-4967  CA ",3.11
01/21/2025,24011345021500015477714,"99 RANCH MARKET 99RANCH.COM CA","99RANCH.COM   CA ",-54.10
01/20/2025,24036295020712157267642,"WEEE INC. 5105734967 CA","5105734967    CA ",-94.83
01/20/2025,24036295019714026130228,"DD *DOORDASH NEWFUSION 855-973-1040 CA","855-973-1040  CA ",-84.51
01/18/2025,24692165018107505576279,"Amazon Grocery Subscri 888-280-4331 WA","888-280-4331  WA ",-11.01
01/18/2025,24431065017133012191005,"TARGET.COM * 800-591-3869 MN","800-591-3869  MN ",-23.42
01/18/2025,24431065017133009957319,"TARGET.COM * 800-591-3869 MN","800-591-3869  MN ",-17.79
