Posted Date,Reference Number,Payee,Address,Amount
03/10/2025,74431065067163586309984,"TARGET.COM BROOKLYN PARKMN","BROOKLYN PARK MN ",18.73
03/08/2025,06706005710040472426444,"Online payment from CHK 8540","",1532.76
03/08/2025,24692165066106053598041,"Amazon.com*B46XC1XC3 Amzn.com/billWA","Amzn.com/bill WA ",-31.96
03/08/2025,24011345066500083193926,"LYFT *RIDE THU 5AM LYFT.COM CA","LYFT.COM      CA ",-83.48
03/08/2025,24692165066105655629600,"VANILLA BAKE TBIT LAX LOS ANGELES CA","LOS ANGELES   CA ",-12.21
03/08/2025,24692165066105655627281,"STARBUCKS TBIT LAX LOS ANGELES CA","LOS ANGELES   CA ",-26.33
03/07/2025,24034545065001125052740,"7-ELEVEN 17565 ARCADIA CA","ARCADIA       CA ",-5.39
03/06/2025,24755425064290644402147,"ROSE WOMENS HEALTH ARCADIA CA","ARCADIA       CA ",-40.00
03/06/2025,24137465064200416592673,"TST* SUNRIGHT TEA STUDIO ARCADIA CA","ARCADIA       CA ",-6.95
03/06/2025,24137465064200416592590,"TST* SUNRIGHT TEA STUDIO ARCADIA CA","ARCADIA       CA ",-6.95
03/05/2025,24427335063740278671755,"99 RANCH #1007 ARCADIA CA","ARCADIA       CA ",-5.53
03/05/2025,24692165064103732046841,"Amazon.com*VF5MD6A23 Amzn.com/billWA","Amzn.com/bill WA ",-28.14
03/05/2025,24559305063900016240395,"AMERICAN PEDIATRICS 951-7345450 CA","951-7345450   CA ",-20.60
03/05/2025,24692165063103178295739,"Amazon.com*CV9G51N63 Amzn.com/billWA","Amzn.com/bill WA ",-16.53
03/05/2025,24692165063103107743189,"Amazon.com*RD4CU2CK3 Amzn.com/billWA","Amzn.com/bill WA ",-31.82
03/05/2025,24692165063102889015170,"Amazon.com*OF8I02KQ3 Amzn.com/billWA","Amzn.com/bill WA ",-27.12
03/04/2025,24692165062102604305162,"AMAZON MKTPL*AX2QS1PF3 Amzn.com/billWA","Amzn.com/bill WA ",-38.79
03/04/2025,24164075062091015748716,"TARGET 00003020 DUARTE CA","DUARTE        CA ",-11.60
03/04/2025,24692165062102346573945,"Amazon.com*MN4MC9NV3 Amzn.com/billWA","Amzn.com/bill WA ",-17.63
