Posted Date,Reference Number,Payee,Address,Amount,remove
01/17/2025,2.40E+22,DD *DOORDASH 99RANCHMA 855-973-1040 CA,855-973-1040  CA,-31.48,
01/16/2025,2.40E+22,99 RANCH MARKET 99RANCH.COM CA,99RANCH.COM   CA,-118.12,
01/15/2025,2.40E+22,99 RANCH MARKET 99RANCH.COM CA,99RANCH.COM   CA,-109.55,
01/15/2025,2.40E+22,LYFT *RIDE MON 12PM LYFT.COM CA,LYFT.COM      CA ,-37.99,
01/15/2025,2.41E+22,TST* SUNRIGHT TEA STUDIO ARCADIA CA,ARCADIA       CA ,-6.5,
01/14/2025,2.40E+22,LYFT *RIDE MON 11AM LYFT.COM CA,LYFT.COM      CA ,-6.99,
01/14/2025,2.40E+22,LYFT *RIDE MON 10AM LYFT.COM CA,LYFT.COM      CA ,-33.87,
01/13/2025,1.31E+21,Online payment from CHK 8540,,733.08,
01/13/2025,2.40E+22,DD *DOORDASH PARISBAGU 855-973-1040 CA,855-973-1040  CA,-51.34,
01/13/2025,2.47E+22,AMAZON MKTPL*ZD4A510X1 Amzn.com/billWA,Amzn.com/bill WA ,-18.31,
01/13/2025,2.44E+22,TARGET.COM * 800-591-3869 MN,800-591-3869  MN,-20.22,
01/13/2025,2.40E+22,DD *DOORDASH CHICNOWHA 855-973-1040 CA,855-973-1040  CA,-58.31,
01/13/2025,2.47E+22,Amazon.com*ZD2J253Y1 Amzn.com/billWA,Amzn.com/bill WA ,-9.97,
01/11/2025,2.40E+22,WEEE INC. 5105734967 CA,5105734967    CA,-3.98,
01/11/2025,2.40E+22,WEEE INC. 5105734967 CA,5105734967    CA,-51.62,
01/11/2025,2.40E+22,DD *DOORDASH VONS 855-973-1040 CA,855-973-1040  CA,-61.93,
01/11/2025,2.47E+22,AMAZON MKTPL*Z52113MJ2 Amzn.com/billWA,Amzn.com/bill WA ,-33.07,
01/11/2025,2.40E+22,DD *DOORDASH PRESSED 855-973-1040 CA,855-973-1040  CA,-26.83,
01/11/2025,2.40E+22,DD *DOORDASH TARGET 855-973-1040 CA,855-973-1040  CA,-45,
01/11/2025,2.40E+22,DD *DOORDASH KINGCHOPS 855-973-1040 CA,855-973-1040  CA,-74.78,
01/11/2025,2.47E+22,Amazon.com*ZD9Z316F0 Amzn.com/billWA,Amzn.com/bill WA ,-19.65,
01/10/2025,2.40E+22,DD *DOORDASH TARGET 855-973-1040 CA,855-973-1040  CA,-12.58,
01/10/2025,2.47E+22,Amazon.com*Z56VA9GP2 Amzn.com/billWA,Amzn.com/bill WA ,-44.47,
01/10/2025,2.47E+22,Amazon.com*ZP4BC8Y31 Amzn.com/billWA,Amzn.com/bill WA ,-173.91,
01/09/2025,9.06E+20,Online payment from CHK 8540,,877.71,
01/09/2025,2.47E+22,AMAZON MKTPL*Z53EX2AR2 Amzn.com/billWA,Amzn.com/bill WA ,-158.75,
01/09/2025,2.47E+22,AMAZON MKTPL*ZP4Y59RO1 Amzn.com/billWA,Amzn.com/bill WA ,-8.81,
01/09/2025,2.47E+22,AMAZON MKTPL*ZP9ZS3RY1 Amzn.com/billWA,Amzn.com/bill WA ,-7.71,
01/09/2025,2.40E+22,DD *DOORDASHDASHPASS WWW.DOORDASH.CA,WWW.DOORDASH. CA ,-9.99,
01/07/2025,2.47E+22,AMAZON MKTPL*ZP2HI45V1 Amzn.com/billWA,Amzn.com/bill WA ,-11.01,
01/07/2025,2.47E+22,Amazon.com*ZD4ZG6OT0 Amzn.com/billWA,Amzn.com/bill WA ,-5.99,
01/07/2025,2.47E+22,Amazon.com*ZD76B7OD0 Amzn.com/billWA,Amzn.com/bill WA ,-15.91,
01/06/2025,2.40E+22,WWW.YAMIBUY.COM HTTPSWWW.YAMICA,HTTPSWWW.YAMI CA ,-49.87,
01/06/2025,7.40E+22,WEEE INC. 510-573-4967 CA,510-573-4967  CA,3.29,
01/06/2025,2.40E+22,DD *DOORDASH 99RANCHMA 855-973-1040 CA,855-973-1040  CA,-102.61,
01/06/2025,2.44E+22,TARGET.COM * 800-591-3869 MN,800-591-3869  MN,-27.7,
01/06/2025,2.44E+22,TARGET.COM * 800-591-3869 MN,800-591-3869  MN,-13.23,
01/06/2025,2.40E+22,WEEE INC. 5105734967 CA,5105734967    CA,-122.62,
01/06/2025,2.40E+22,WEEE INC. 5105734967 CA,5105734967    CA,-3.29,
01/06/2025,2.47E+22,AMAZON MKTPL*ZD77R6V92 Amzn.com/billWA,Amzn.com/bill WA ,-87.1,
01/06/2025,7.44E+22,TARGET.COM BROOKLYN PARKMN,BROOKLYN PARK MN ,13.33,
01/06/2025,2.44E+22,TARGET.COM 800-591-3869 MN,800-591-3869  MN,-13.33,
01/06/2025,2.47E+22,Amazon.com*ZD8SG5XC2 Amzn.com/billWA,Amzn.com/bill WA ,-81.56,
01/06/2025,2.47E+22,AMAZON MKTPL*ZP84Y6DH0 Amzn.com/billWA,Amzn.com/bill WA ,-15.42,
01/06/2025,2.40E+22,PF* PETFIESTAS WWW.PETFIESTACO,WWW.PETFIESTA CO ,-93.51,
01/06/2025,2.47E+22,Amazon.com*ZD7Q71152 Amzn.com/billWA,Amzn.com/bill WA ,-28.72,
