Posted Date,Reference Number,Payee,Address,Amount
06/17/2025,24431065168228027028668,"H MART IRVINE INC IRVINE CA","IRVINE        CA ",-57.60
06/17/2025,24036295167714173081166,"DD *DOORDASH BCDTOFUHO 855-973-1040 CA","855-973-1040  CA ",-50.89
06/16/2025,24036295166716008920568,"DD *DOORDASH SUNRIGHTT 855-973-1040 CA","855-973-1040  CA ",-16.86
06/16/2025,24692165166109373066854,"AMAZON MKTPL*NA4F07WU2 Amzn.com/billWA","Amzn.com/bill WA ",-140.06
06/16/2025,24427335165740289065838,"99 RANCH #1007 ARCADIA CA","ARCADIA       CA ",-9.98
06/16/2025,24427335165740289064260,"99 RANCH #1007 ARCADIA CA","ARCADIA       CA ",-11.42
06/13/2025,24036295164712642579656,"UBER *EATS HELP.UBER.COMCA","HELP.UBER.COM CA ",-19.64
06/13/2025,24755425164121643837398,"CA DEPT OF PUBLIC HEALTH 800-5970832 CA","800-5970832   CA ",-73.68
06/13/2025,24036295163714629279590,"UBER *EATS HELP.UBER.COMCA","HELP.UBER.COM CA ",-26.11
06/13/2025,24036295163714628154604,"UBER *EATS HELP.UBER.COMCA","HELP.UBER.COM CA ",-12.95
06/13/2025,24692165163106794109027,"Amazon.com*NH2SV87J1 Amzn.com/billWA","Amzn.com/bill WA ",-104.05
06/12/2025,24794875162900015409485,"PRIMROSE PSYCHIATRY 626-8231684 CA","626-8231684   CA ",-500.00
06/11/2025,24036295161744313421754,"DD *DOORDASH XISHANGRO 855-973-1040 CA","855-973-1040  CA ",-31.20
06/11/2025,24692165161105036068928,"AMAZON MKTPL*NH6028GY1 Amzn.com/billWA","Amzn.com/bill WA ",-6.94
06/11/2025,24692165161105016996817,"Amazon.com*NH10A2G11 Amzn.com/billWA","Amzn.com/bill WA ",-22.04
06/11/2025,24036295161714288365062,"DD *DOORDASH BAYPOKETE 855-973-1040 CA","855-973-1040  CA ",-28.64
06/11/2025,24011345161100065288820,"DD *DOORDASH KFC DOORDASH.COM CA","DOORDASH.COM  CA ",-17.60
06/10/2025,24036295160742161506230,"DD *DOORDASH SICHUANST 855-973-1040 CA","855-973-1040  CA ",-45.54
06/10/2025,24036295160714152204349,"DD *DOORDASH TAOSKITCH 855-973-1040 CA","855-973-1040  CA ",-49.14
06/09/2025,16006005720004510179740,"Online payment from CHK 8540","",2039.10
06/09/2025,24692165160103832969325,"Amazon.com*NH9SG23Y1 Amzn.com/billWA","Amzn.com/bill WA ",-16.54
06/09/2025,24036295159742044969996,"DD *DOORDASH KFC 855-973-1040 CA","855-973-1040  CA ",-21.84
06/09/2025,24036295158742926574030,"DD *DOORDASH KIYOJAPAN 855-973-1040 CA","855-973-1040  CA ",-170.05
06/09/2025,24692165158102177987664,"Amazon.com*N62UL0IY0 Amzn.com/billWA","Amzn.com/bill WA ",-9.81
06/07/2025,24011345158100006701530,"LYFT *2 RIDES 06-05 LYFT.COM CA","LYFT.COM      CA ",-13.99
06/07/2025,24036295157744745267144,"DD *DOORDASH CHICK-FIL 855-973-1040 CA","855-973-1040  CA ",-31.61
06/07/2025,74036295157742693940246,"WEEE INC. 510-573-4967 CA","510-573-4967  CA ",6.88
06/06/2025,24036295156744594122516,"DD *DOORDASH NOODLEST 855-973-1040 CA","855-973-1040  CA ",-25.82
