Posted Date,Reference Number,Payee,Address,Amount
07/17/2025,24692165197105155454824,"Amazon.com*A878O2W53 Amzn.com/billWA","Amzn.com/bill WA ",-16.10
07/17/2025,24692165197105147696540,"AMAZON MKTPL*Q03YN6AQ3 Amzn.com/billWA","Amzn.com/bill WA ",-8.61
07/14/2025,24431065195245637136167,"H MART IRVINE INC IRVINE CA","IRVINE        CA ",-168.72
07/14/2025,24036295194714868793809,"DD *DOORDASH SHANGHAIL 855-973-1040 CA","855-973-1040  CA ",-92.07
07/14/2025,24036295193718768757690,"DD *DOORDASH KFC 855-973-1040 CA","855-973-1040  CA ",-46.11
07/12/2025,24036295193716730474899,"DD *DOORDASH NOODOLOGY 855-973-1040 CA","855-973-1040  CA ",-22.30
07/12/2025,24011345193100010612985,"LYFT *2 RIDES 07-10 LYFT.COM CA","LYFT.COM      CA ",-29.86
07/12/2025,24036295192742638789510,"DD *DOORDASH MCDONALDS 855-973-1040 CA","855-973-1040  CA ",-30.00
07/12/2025,24036295192712638197097,"DD *DOORDASH 99RANCHMA 855-973-1040 CA","855-973-1040  CA ",-37.50
07/12/2025,24036295192744584882778,"DD *DOORDASH CVS 855-973-1040 CA","855-973-1040  CA ",-24.46
07/12/2025,24036295192718585117871,"DD *DOORDASH MEIZHOUDO 855-973-1040 CA","855-973-1040  CA ",-104.20
07/11/2025,19206005720002248229359,"Online payment from CHK 8540","",1442.58
07/11/2025,24036295191718484919642,"DD *DOORDASH XISHANGRO 855-973-1040 CA","855-973-1040  CA ",-31.20
07/11/2025,74692165191109291081369,"AMAZON MKTPLACE PMTS Amzn.com/billWA","Amzn.com/bill WA ",24.20
07/09/2025,24692165190108026808159,"Amazon.com*NL5TM21Y0 Amzn.com/billWA","Amzn.com/bill WA ",-2.90
07/09/2025,24431065189242075432941,"TARGET.COM 800-591-3869 MN","800-591-3869  MN ",-56.37
07/09/2025,24445005189300558316112,"RPY*RADIANT IMAGING ARCADIA CA","ARCADIA       CA ",-50.00
07/09/2025,24039825189900019357317,"MODERN PARKING LOC 184 PASADENA CA","PASADENA      CA ",-12.00
07/09/2025,74085325190018510005222,"FOREIGN TRANSACTION FEE","",-1.22
07/09/2025,74085325190018510005222,"WWW.GLOS.AC.UK 01452733624","",-40.95
07/09/2025,24011345189100090422723,"LYFT *1 RIDE 07-07 LYFT.COM CA","LYFT.COM      CA ",-17.17
07/09/2025,24793385189001779110045,"CURRY FLURRY Arcadia CA","Arcadia       CA ",-37.55
07/08/2025,24055235189399637700845,"LA SINBALA ARCADIA CA","ARCADIA       CA ",-55.50
07/08/2025,24036295188744078584159,"DD *DOORDASH HAPPYLEMO 855-973-1040 CA","855-973-1040  CA ",-19.99
07/07/2025,24430995187397722330327,"APPLE.COM/BILL 866-712-7753 CA","866-712-7753  CA ",-2.99
07/07/2025,24036295187712935991280,"DD *DOORDASH KIKUSUSHI 855-973-1040 CA","855-973-1040  CA ",-66.95
07/07/2025,24692165187105247647957,"SQ *PATISSERIE BLUEJAY ARCADIA CA","ARCADIA       CA ",-40.00
07/05/2025,24055235186396470799507,"LA SINBALA ARCADIA CA","ARCADIA       CA ",-93.00
07/05/2025,24231685185395632906699,"85C BAKERY CAFE USA IRVINE CA","IRVINE        CA ",-15.82
07/05/2025,24692165185103941446372,"Amazon.com*N34F43H20 Amzn.com/billWA","Amzn.com/bill WA ",-44.97
07/05/2025,24692165185103884599757,"Amazon.com*N37JR8MB1 Amzn.com/billWA","Amzn.com/bill WA ",-15.76
07/04/2025,24431065185239291218611,"H MART IRVINE INC IRVINE CA","IRVINE        CA ",-24.38
