Posted Date,Reference Number,Payee,Address,Amount
08/19/2025,23106005720014616079319,"Online payment from CHK 9084","",1041.87
08/18/2025,24943005229268160208846,"COSTCO WHSE #1001 TUSTIN CA","TUSTIN        CA ",-177.62
08/18/2025,24492165228100027167857,"ERWA COLD POT FISH 131-27305592 IL","131-27305592  IL ",-273.74
08/16/2025,24941505228444744514007,"POPEYES 3321 SAN GABRIEL CA","SAN GABRIEL   CA ",-9.95
08/13/2025,24943005225265466049191,"COSTCO GAS #0454 IRVINE CA","IRVINE        CA ",-38.00
08/11/2025,24164075222091007406486,"TARGET 00021519 TUSTIN CA","TUSTIN        CA ",-64.44
08/11/2025,24164075222091007406478,"TARGET 00021519 TUSTIN CA","TUSTIN        CA ",-115.82
08/11/2025,24164075222091007406460,"TARGET 00021519 TUSTIN CA","TUSTIN        CA ",-30.62
08/11/2025,24164075222091007406445,"TARGET 00021519 TUSTIN CA","TUSTIN        CA ",-30.62
08/11/2025,24164075222091007406452,"TARGET 00021519 TUSTIN CA","TUSTIN        CA ",-30.62
08/11/2025,24427335221740287524820,"99 RANCH #1009 IRVINE CA","IRVINE        CA ",-215.29
08/08/2025,24492165219100034021130,"OPENAI *CHATGPT SUBSCR OPENAI.COM CA","OPENAI.COM    CA ",-20.00
08/06/2025,24431065218260818011298,"H MART IRVINE INC IRVINE CA","IRVINE        CA ",-35.15
08/05/2025,21706005710039425914711,"Online payment from CHK 9084","",1118.76
08/02/2025,24427335213740298894386,"99 RANCH #1009 IRVINE CA","IRVINE        CA ",-158.69
07/31/2025,24755425212152125569532,"RADIANT IMAGING INC 626-6987200 CA","626-6987200   CA ",-219.87
07/31/2025,24943005212256827929986,"COSTCO GAS #0454 IRVINE CA","IRVINE        CA ",-39.11
07/29/2025,24692165209106177060454,"Spectrum 855-707-7328 MO","855-707-7328  MO ",-66.24
07/28/2025,24164075208091007239059,"TARGET 00021519 TUSTIN CA","TUSTIN        CA ",-235.50
07/28/2025,24427335207740288645135,"99 RANCH #1009 IRVINE CA","IRVINE        CA ",-294.19
07/28/2025,24692165207104377939801,"GEICO *AUTO 800-841-3000 DC","800-841-3000  DC ",-95.16
07/25/2025,24431065206252792966278,"CHLA PARKING LOS ANGELES CA","LOS ANGELES   CA ",-10.00
07/24/2025,20506005720006330006547,"Online payment from CHK 9084","",270.93
07/21/2025,24427335201740281702749,"99 RANCH #1009 IRVINE CA","IRVINE        CA ",-132.73
07/21/2025,24164075201091016280976,"TARGET 00021519 TUSTIN CA","TUSTIN        CA ",-15.13
07/21/2025,24164075201091016280984,"TARGET 00021519 TUSTIN CA","TUSTIN        CA ",-0.99
07/21/2025,24137465201001515288906,"WHOLEFDS JAM 10231 TUSTIN CA","TUSTIN        CA ",-8.07
