Posted Date,Reference Number,Payee,Address,Amount
03/18/2025,24906415076224559013115,"WL *VUE*Testing Exam 953-6813000 MN","953-6813000   MN ",-83.00
03/05/2025,74204295063000493753023,"LinkedInPre *67610413 855-6535653 CA","855-6535653   CA ",179.91
03/04/2025,24692165063102691340790,"SQ *RAMEN NAGI SANTA ANITArcadia CA","Arcadia       CA ",-51.00
03/03/2025,06106005720001970640567,"Online payment from CHK 9084","",728.22
03/03/2025,24427335060740285314178,"99 RANCH #1007 ARCADIA CA","ARCADIA       CA ",-69.05
03/03/2025,24445005060300581048918,"UEP*OMMA TOFU HOUSE ARCADIA CA","ARCADIA       CA ",-15.42
03/01/2025,24692165059109481505744,"IN-N-OUT TUSTIN TUSTIN CA","TUSTIN        CA ",-14.17
03/01/2025,24692165059109336669117,"Spectrum 855-707-7328 MO","855-707-7328  MO ",-61.82
02/28/2025,24204295059000415460021,"LinkedInPre *67610413 855-6535653 CA","855-6535653   CA ",-179.91
02/25/2025,24034545055004997075502,"7-ELEVEN 16933 ARCADIA CA","ARCADIA       CA ",-4.04
02/24/2025,24692165053103969734971,"TST*KUAN ZHAI ALLEY Irvine CA","Irvine        CA ",-93.30
02/20/2025,24034545050003921068877,"7-ELEVEN 17565 ARCADIA CA","ARCADIA       CA ",-4.04
